msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,About,,,modules/custom/grants_formnavigation/grants_formnavigation.module:21,,,
,Allows users to navigate forwards and backwards through multi-page webforms using the wizard progress bar.,,,modules/custom/grants_formnavigation/grants_formnavigation.module:22,,,
,Grants Webform Navigation,,,modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0 modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:12,,,
,Creates a navigation setting for webform that allows users to navigate forwards and backwards through wizard pages when the wizard navigation progress bar is enabled.,,,modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0,,,
,Webform,,,modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0,,,
,Webform Navigation settings,,,modules/custom/grants_formnavigation/config/schema/grants_formnavigation.schema.yml:0,,,
,Forward Navigation,,,modules/custom/grants_formnavigation/config/schema/grants_formnavigation.schema.yml:0,,,
,Development settings,,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:69,,,
,Enable debugging,,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:73,,,
,"If checked, every handler method invoked will be displayed onscreen to all users.",,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:74,,,
,Invoked @id: @class_name:@method_name @context1,,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:198,,,
,Helfi,,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:12,,,
,A webform submission handler for the webform navigation module.,,,modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:12,,,
